feature,coef,abs_coef
Chocolate,8.903795970433976,8.903795970433976
Fruity,4.6902806384326095,4.6902806384326095
Hard,-3.180550009561138,3.180550009561138
PeanutyAlmondy,3.0199765063664836,3.0199765063664836
CrispedRiceWafer,2.210845774782511,2.210845774782511
SugarPercent,1.730916399892372,1.730916399892372
PluriBus,-1.4129678816544202,1.4129678816544202
